Shrimp,47-894-0918,Food
Maple Syrup,90-681-3594,Food
Pasta,95-472-6796,Food
Fudge,07-335-6782,Food
Sausage,64-156-6276,Food
Ham,63-913-5165,Food
Cheese,36-412-0641,Food
Beef,75-431-6569,Food
Juice Peach Nectar,26-972-0216,Food
Chocolate,34-286-3230,Food
Anisette,42-609-1777,Food
Yogurt,58-446-8492,Food
Wine,59-631-7237,Food
Champagne,77-206-0174,Food
Olives,20-783-9869,Food
Pepper,73-188-2671,Food
Kumquat,43-755-8823,Food
Veal,39-448-9827,Food
Chips Potato All Dressed,87-724-7037,Food
Rabbit,50-152-5557,Food
Duck,16-665-6726,Food
Capers,32-844-0297,Food
Quest,55-263-4650,Movie
Full Tilt Boogie,94-856-7195,Movie
Glass Shield,33-403-5564,Movie
Thirteen Women,76-699-3507,Movie
Cop Land,82-060-3002,Movie
Weddings and Babies,06-793-6777,Movie
Dead Girl,28-473-7031,Movie
Bosko's Parlor Pranks,27-605-2336,Movie
Man from Down Under,43-788-0223,Movie
Shanghai Dreams,32-537-5655,Movie
Letter to Three Wives,96-877-0128,Movie
Yi Yi,07-314-9525,Movie
The Hatchet Man,10-174-1759,Movie
Hurricane,24-293-5457,Movie
Into the Deep,81-691-1634,Movie
